program_code,program_name,qualification,university_code
0010145,მულტილინგვური განათლება - დაწყებითი საფეხურის მასწავლებლის მომზადების ინტეგრირებული სა კვალიფიკაცია: განათლების მაგისტრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 06-08-2032 ქართული ენა ფინანსდება 300 2250 25 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 6 51%-ზე მეტი 1 უცხოური ენა (ინგ.; გერ.; ფრა.) 3 21%-ზე მეტი 3 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 21%-ზე მეტი 2 10 ისტორია 3 25%-ზე მეტი 2 15 81 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,ბაკალავრო-სამაგისტრო პროგრამა,001
0010146,მედიცინა (ქართულენოვანი) კვალიფიკაცია: დიპლომირებული მედიკოსი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2027 ქართული ენა ფინანსდება 360 2250 100 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 2 55%-ზე მეტი 4 უცხოური ენა (ინგ.) 3 75%-ზე მეტი 2 ბიოლოგია 4 65%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 50%-ზე მეტი 3 30 ფიზიკა 3 50%-ზე მეტი 3 30 ქიმია 3 60%-ზე მეტი 3 40 82 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010147,მედიცინა (ინგლისურენოვანი) კვალიფიკაცია: დიპლომირებული მედიკოსი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2027 ინგლისური ენა ფინანსდება 360 2250 10 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 2 55%-ზე მეტი 4 უცხოური ენა (ინგ.) 4 85%-ზე მეტი 2 ბიოლოგია 4 65%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 2 50%-ზე მეტი 3 3 ფიზიკა 2 50%-ზე მეტი 3 3 ქიმია 2 60%-ზე მეტი 3 4 83 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010148,სტომატოლოგია კვალიფიკაცია: დიპლომირებული სტომატოლოგი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2027 ქართული ენა ფინანსდება 300 2250 40 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 2 50%-ზე მეტი 4 უცხოური ენა (ინგ.) 3 60%-ზე მეტი 2 ბიოლოგია 4 50%-ზე მეტი 1 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 3 45%-ზე მეტი 3 12 ფიზიკა 3 45%-ზე მეტი 3 12 ქიმია 3 50%-ზე მეტი 3 16 84 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010149,ოკუპაციური თერაპია კვალიფიკაცია: ოკუპაციური თერაპიის ბაკალავრი აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2027 ქართული ენა ფინანსდება 240 2250 20 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 4 41%-ზე მეტი 1 უცხოური ენა (ინგ.) 4 41%-ზე მეტი 2 ბიოლოგია 3 41%-ზე მეტი 3 ერთ-ერთი შემდეგი სავალდებულო საგნებიდან მათემატიკა 1 21%-ზე მეტი 4 8 ფიზიკა 1 26%-ზე მეტი 4 6 ქიმია 1 26%-ზე მეტი 4 6 85 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010150,ქართულ ენაში მომზადება აზერბაიჯანულენოვანთათვის აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2029 ქართული ენა ფინანსდება 60 2250 345 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ზოგადი უნარები (აზერ) 12 30%-ზე მეტი 1 86 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010151,ქართულ ენაში მომზადება სომხურენოვანთათვის აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2029 ქართული ენა ფინანსდება 60 2250 345 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ზოგადი უნარები (სომხ) 12 30%-ზე მეტი 1 87 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010152,ქართულ ენაში მომზადება აფხაზურენოვანთათვის აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2029 ქართული ენა ფინანსდება 60 2250 69 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა აფხაზური ენა 12 25%-ზე მეტი 1 88 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07,,001
0010153,"ქართულ ენაში მომზადება ოსურენოვანთათვის აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 31-12-2029 ქართული ენა ფინანსდება 60 2250 69 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ოსური ენა 12 25%-ზე მეტი 1 89 001 სსიპ - ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი 08.08.2025 10:07 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია მისამართი: 0108, თბილისი, გრიბოედოვის ქ. 8-10 ტელეფონი: (+995 32) 2 995 194 ვებგვერდი: www.tsc.edu.ge ელ.ფოსტა: info@tsc.edu.ge 90 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07",,001
0020101,საშემსრულებლო ხელოვნება - კლავიშიანი საკრავები კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (კლავიშიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 16 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 91 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020102,საშემსრულებლო ხელოვნება - აკადემიური გუნდის დირიჟორობა კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (საგუნდო დირიჟორობა) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 8 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 92 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020103,საშემსრულებლო ხელოვნება - სოლო აკადემიური სიმღერა (ქალები) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (ვოკალი) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 9 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 93 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020104,საშემსრულებლო ხელოვნება - სოლო აკადემიური სიმღერა (ვაჟები) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (ვოკალი) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 9 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 94 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020105,საშემსრულებლო ხელოვნება - სიმებიანი საკრავები (ვიოლინო) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (სიმებიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 8 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 95 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020106,საშემსრულებლო ხელოვნება - სიმებიანი საკრავები (ალტი) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (სიმებიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 3 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 96 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020107,საშემსრულებლო ხელოვნება - სიმებიანი საკრავები (ჩელო) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (სიმებიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 1 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 97 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020108,საშემსრულებლო ხელოვნება - სიმებიანი საკრავები (კონტრაბასი) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (სიმებიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 1 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 98 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020109,საშემსრულებლო ხელოვნება - სიმებიანი საკრავები (გიტარა) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (სიმებიანი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 1 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 99 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
0020110,საშემსრულებლო ხელოვნება - ჩასაბერი საკრავები (ფლეიტა) კვალიფიკაცია: ჰუმანიტარული მეცნიერებების ბაკალავრი საშემსრულებლო ხელოვნებაში (ჩასაბერი საკრავები) საგრანტო კონკურში მონაწილეობისათვის აუცილებელია ერთ-ერთი შემდეგი საგნის ჩაბარება: მათემატიკა/ისტორია/სახვითი და გამოყენებითი ხელოვნება/ლიტერატურა აკრედიტაცია აკრედიტაციის ვადა სწავლების ენა დაფინანსება კრედიტების რ-ბა წლიური საფასური ადგილების რ-ბა აკრედიტებული 28-12-2030 ქართული ენა ფინანსდება 240 2250 4 გამოცდა კოეფიციენტი მინ. ზღვარი პრიორიტეტი ადგილების რ-ბა ქართული ენა და ლიტერატურა 25%-ზე მეტი უცხოური ენა (გერ.; ინგ.; რუს.; ფრან.) 20%-ზე მეტი შემოქმედებითი ტური 12 1 100 002 სსიპ - თბილისის ვანო სარაჯიშვილის სახელობის სახელმწიფო კონსერვატორია 08.08.2025 10:07,,002
